Starting training ...
Starting Compression ...
Traceback (most recent call last):
  File "compressor.py", line 20, in <module>
    import keras
ImportError: No module named keras
Command exited with non-zero status 1
	Command being timed: "python compressor.py -data ../data/processed_files/Caenorhabditis_elegans.WBcel235.dna.chromosome.I.npy -data_params ../data/processed_files/Caenorhabditis_elegans.WBcel235.dna.chromosome.I.param.json -model ../data/trained_models/Caenorhabditis_elegans.WBcel235.dna.chromosome.I/biLSTM.hdf5 -model_name biLSTM -output ../data/compressed/Caenorhabditis_elegans.WBcel235.dna.chromosome.I/biLSTM.compressed -batch_size 10000"
	User time (seconds): 1.27
	System time (seconds): 3.18
	Percent of CPU this job got: 1183%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.37
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 57996
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 14580
	Voluntary context switches: 144
	Involuntary context switches: 441963
	Swaps: 0
	File system inputs: 0
	File system outputs: 0
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 1
Traceback (most recent call last):
  File "decompressor.py", line 20, in <module>
    import keras
ImportError: No module named keras
Command exited with non-zero status 1
	Command being timed: "python decompressor.py -output ../data/compressed/Caenorhabditis_elegans.WBcel235.dna.chromosome.I/biLSTM.reconstructed.txt -model ../data/trained_models/Caenorhabditis_elegans.WBcel235.dna.chromosome.I/biLSTM.hdf5 -model_name biLSTM -input_file_prefix ../data/compressed/Caenorhabditis_elegans.WBcel235.dna.chromosome.I/biLSTM.compressed -batch_size 10000"
	User time (seconds): 1.30
	System time (seconds): 3.23
	Percent of CPU this job got: 1196%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.38
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 58028
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 14640
	Voluntary context switches: 133
	Involuntary context switches: 294126
	Swaps: 0
	File system inputs: 0
	File system outputs: 0
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 1
Starting training ...
Starting Compression ...
