filename,file_length,gzip,bsc,model,model-size,compressed-size,total-size,status
Caenorhabditis_elegans.WBcel235.dna.chromosome.I,15072434,4033483,3485394,biLSTM_16bit,120272,3535043,3655315,0
Caenorhabditis_elegans.WBcel235.dna.chromosome.I,15072434,4033483,3485394,biGRU,170512,3441972,3612484,0
Caenorhabditis_elegans.WBcel235.dna.chromosome.I,15072434,4033483,3485394,biGRU_16bit,98560,3536457,3635017,0
Caenorhabditis_elegans.WBcel235.dna.chromosome.I,15072434,4033483,3485394,LSTM_multi,614616,3401681,4016297,0
Caenorhabditis_elegans.WBcel235.dna.chromosome.I,15072434,4033483,3485394,FC,8674080,3379189,12053269,0
Caenorhabditis_elegans.WBcel235.dna.chromosome.I,15072434,4033483,3485394,FC_4layer,390328,3453831,3844159,0
Caenorhabditis_elegans.WBcel235.dna.chromosome.I,15072434,4033483,3485394,LSTM_multi_16bit,317656,3503449,3821105,0
Caenorhabditis_elegans.WBcel235.dna.chromosome.I,15072434,4033483,3485394,GRU_multi_16bit,309464,3497453,3806917,0
Caenorhabditis_elegans.WBcel235.dna.chromosome.I,15072434,4033483,3485394,FC_16bit,4346656,3410094,7756750,0
Caenorhabditis_elegans.WBcel235.dna.chromosome.I,15072434,4033483,3485394,FC_4layer_16bit,207120,3503326,3710446,0
Caenorhabditis_elegans.WBcel235.dna.toplevel,100286401,26965524,23384908,biLSTM_16bit,120272,23313239,23433511,0
Caenorhabditis_elegans.WBcel235.dna.toplevel,100286401,26965524,23384908,biGRU,170512,22992341,23162853,0
Caenorhabditis_elegans.WBcel235.dna.toplevel,100286401,26965524,23384908,biGRU_16bit,98560,23318097,23416657,0
Caenorhabditis_elegans.WBcel235.dna.toplevel,100286401,26965524,23384908,LSTM_multi,614616,22823939,23438555,0
Caenorhabditis_elegans.WBcel235.dna.toplevel,100286401,26965524,23384908,FC,8674080,22768002,31442082,0
Caenorhabditis_elegans.WBcel235.dna.toplevel,100286401,26965524,23384908,FC_4layer,390328,23049864,23440192,0
Caenorhabditis_elegans.WBcel235.dna.toplevel,100286401,26965524,23384908,LSTM_multi_16bit,317656,23175685,23493341,0
Caenorhabditis_elegans.WBcel235.dna.toplevel,100286401,26965524,23384908,GRU_multi_16bit,309464,23143589,23453053,0
Caenorhabditis_elegans.WBcel235.dna.toplevel,100286401,26965524,23384908,FC_16bit,4346656,180018,4526674,1
Caenorhabditis_elegans.WBcel235.dna.toplevel,100286401,26965524,23384908,FC_4layer_16bit,207120,23148382,23355502,0
chr1,249250621,60577992,50425756,biLSTM_16bit,120272,231233,351505,1
chr1,249250621,60577992,50425756,biGRU,171472,48703629,48875101,0
chr1,249250621,60577992,50425756,biGRU_16bit,98688,231233,329921,1
chr1,249250621,60577992,50425756,LSTM_multi,616664,47947116,48563780,0
chr1,249250621,60577992,50425756,FC,8675664,47992480,56668144,0
chr1,249250621,60577992,50425756,FC_4layer,390840,49050948,49441788,0
chr1,249250621,60577992,50425756,LSTM_multi_16bit,319704,231233,550937,1
chr1,249250621,60577992,50425756,GRU_multi_16bit,309464,231233,540697,1
chr1,249250621,60577992,50425756,FC_16bit,4346656,231233,4577889,1
chr1,249250621,60577992,50425756,FC_4layer_16bit,207120,231233,438353,1
HMM20,10000000,1486159,867536,biLSTM_16bit,120272,645515,765787,0
HMM20,10000000,1486159,867536,biGRU,170192,642293,812485,0
HMM20,10000000,1486159,867536,biGRU_16bit,98052,1260129,1358181,0
HMM20,10000000,1486159,867536,LSTM_multi,614616,1260945,1875561,0
HMM20,10000000,1486159,867536,FC,8674080,642727,9316807,0
HMM20,10000000,1486159,867536,FC_4layer,387376,641983,1029359,0
HMM20,10000000,1486159,867536,LSTM_multi_16bit,317656,1260877,1578533,0
HMM20,10000000,1486159,867536,GRU_multi_16bit,309464,642451,951915,0
HMM20,10000000,1486159,867536,FC_16bit,4346656,641980,4988636,0
HMM20,10000000,1486159,867536,FC_4layer_16bit,205072,643840,848912,0
HMM30,10000000,1492963,1264186,biLSTM_16bit,120272,1007866,1128138,0
HMM30,10000000,1492963,1264186,biGRU,170192,643569,813761,0
HMM30,10000000,1492963,1264186,biGRU_16bit,98052,993680,1091732,0
HMM30,10000000,1492963,1264186,LSTM_multi,614616,642341,1256957,0
HMM30,10000000,1492963,1264186,FC,8674080,642246,9316326,0
HMM30,10000000,1492963,1264186,FC_4layer,387376,641997,1029373,0
HMM30,10000000,1492963,1264186,LSTM_multi_16bit,317656,1260012,1577668,0
HMM30,10000000,1492963,1264186,GRU_multi_16bit,309464,642275,951739,0
HMM30,10000000,1492963,1264186,FC_16bit,4346656,641506,4988162,0
HMM30,10000000,1492963,1264186,FC_4layer_16bit,205072,1260380,1465452,0
HMM40,10000000,1491821,1264292,biLSTM_16bit,120272,1260303,1380575,0
HMM40,10000000,1491821,1264292,biGRU,170192,1260156,1430348,0
HMM40,10000000,1491821,1264292,biGRU_16bit,98052,1260225,1358277,0
HMM40,10000000,1491821,1264292,LSTM_multi,614616,1260064,1874680,0
HMM40,10000000,1491821,1264292,FC,8674080,642284,9316364,0
HMM40,10000000,1491821,1264292,FC_4layer,387376,642262,1029638,0
HMM40,10000000,1491821,1264292,LSTM_multi_16bit,317656,1260433,1578089,0
HMM40,10000000,1491821,1264292,GRU_multi_16bit,309464,642180,951644,0
HMM40,10000000,1491821,1264292,FC_16bit,4346656,641616,4988272,0
HMM40,10000000,1491821,1264292,FC_4layer_16bit,205072,1260999,1466071,0
iid_p10.1,10000000,813622,597226,biLSTM_16bit,120272,642243,762515,0
iid_p10.1,10000000,813622,597226,biGRU,170192,642049,812241,0
iid_p10.1,10000000,813622,597226,biGRU_16bit,98052,641984,740036,0
iid_p10.1,10000000,813622,597226,LSTM_multi,614616,642152,1256768,0
iid_p10.1,10000000,813622,597226,FC,8674080,641915,9315995,0
iid_p10.1,10000000,813622,597226,FC_4layer,387376,641946,1029322,0
iid_p10.1,10000000,813622,597226,LSTM_multi_16bit,317656,642301,959957,0
iid_p10.1,10000000,813622,597226,GRU_multi_16bit,309464,641885,951349,0
iid_p10.1,10000000,813622,597226,FC_16bit,4346656,641852,4988508,0
iid_p10.1,10000000,813622,597226,FC_4layer_16bit,0,641900,641900,0
PhiX_quality_truncated,100000000,6216972,4378410,LSTM_multi,614616,4322061,4936677,0
PhiX_quality_truncated,100000000,6216972,4378410,FC_4layer,390328,4329392,4719720,0
text8,100000000,33048234,20949978,biLSTM_16bit,124544,428075,552619,1
text8,100000000,33048234,20949978,biGRU,180864,25689194,25870058,0
text8,100000000,33048234,20949978,biGRU_16bit,103936,428075,532011,1
text8,100000000,33048234,20949978,LSTM_multi,626136,26298075,26924211,0
text8,100000000,33048234,20949978,FC,8684752,22961038,31645790,0
text8,100000000,33048234,20949978,FC_4layer,401400,25306239,25707639,0
text8,100000000,33048234,20949978,LSTM_multi_16bit,323160,428075,751235,1
text8,100000000,33048234,20949978,GRU_multi_16bit,314968,428075,743043,1
text8,100000000,33048234,20949978,FC_16bit,4350416,428075,4778491,1
text8,100000000,33048234,20949978,FC_4layer_16bit,211984,428075,640059,1
xor20,10000000,1513100,60968,biLSTM_16bit,120272,100002,220274,1
xor20,10000000,1513100,60968,biGRU,170192,100002,270194,0
xor20,10000000,1513100,60968,biGRU_16bit,98052,100002,198054,0
xor20,10000000,1513100,60968,LSTM_multi,614616,100002,714618,0
xor20,10000000,1513100,60968,FC,8674080,100002,8774082,0
xor20,10000000,1513100,60968,FC_4layer,387376,100002,487378,0
xor20,10000000,1513100,60968,LSTM_multi_16bit,317656,100002,417658,1
xor20,10000000,1513100,60968,GRU_multi_16bit,309464,100002,409466,0
xor20,10000000,1513100,60968,FC_16bit,4346656,100002,4446658,0
xor20,10000000,1513100,60968,FC_4layer_16bit,205072,100002,305074,1
xor30,10000000,1509435,1264324,biLSTM_16bit,120272,100002,220274,1
xor30,10000000,1509435,1264324,biGRU,170192,100002,270194,0
xor30,10000000,1509435,1264324,biGRU_16bit,98052,100002,198054,1
xor30,10000000,1509435,1264324,LSTM_multi,614616,1260008,1874624,0
xor30,10000000,1509435,1264324,FC,8674080,100002,8774082,0
xor30,10000000,1509435,1264324,FC_4layer,387376,100002,487378,0
xor30,10000000,1509435,1264324,LSTM_multi_16bit,317656,1259955,1577611,0
xor30,10000000,1509435,1264324,GRU_multi_16bit,309464,100002,409466,0
xor30,10000000,1509435,1264324,FC_16bit,4346656,100002,4446658,0
xor30,10000000,1509435,1264324,FC_4layer_16bit,205072,100002,305074,1
xor40,10000000,1487075,1264298,biLSTM_16bit,120272,1260356,1380628,0
xor40,10000000,1487075,1264298,biGRU,170192,1260196,1430388,0
xor40,10000000,1487075,1264298,biGRU_16bit,98052,1260143,1358195,0
xor40,10000000,1487075,1264298,LSTM_multi,614616,1259968,1874584,0
xor40,10000000,1487075,1264298,FC,8674080,100002,8774082,0
xor40,10000000,1487075,1264298,FC_4layer,387376,100002,487378,0
xor40,10000000,1487075,1264298,LSTM_multi_16bit,317656,1260398,1578054,0
xor40,10000000,1487075,1264298,GRU_multi_16bit,309464,100002,409466,0
xor40,10000000,1487075,1264298,FC_16bit,4346656,100002,4446658,0
xor40,10000000,1487075,1264298,FC_4layer_16bit,205072,1260572,1465644,0
xor50,10000000,1481899,1264196,biLSTM_16bit,120272,100002,220274,1
xor50,10000000,1481899,1264196,biGRU,170192,100002,270194,0
xor50,10000000,1481899,1264196,biGRU_16bit,98052,1260298,1358350,0
xor50,10000000,1481899,1264196,LSTM_multi,614616,100002,714618,0
xor50,10000000,1481899,1264196,FC,8674080,100002,8774082,0
xor50,10000000,1481899,1264196,FC_4layer,387376,100002,487378,0
xor50,10000000,1481899,1264196,LSTM_multi_16bit,317656,1260913,1578569,0
xor50,10000000,1481899,1264196,GRU_multi_16bit,309464,100002,409466,0
xor50,10000000,1481899,1264196,FC_16bit,4346656,100002,4446658,0
xor50,10000000,1481899,1264196,FC_4layer_16bit,205072,1261136,1466208,0
