Starting training ...
0;1.8831766127114613
1;1.8687406848715946
2;1.8622829920086283
3;1.8584328716285075
Starting Compression ...
2018-10-28 21:00:55.445035: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-10-28 21:00:57.301870: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1411] Found device 0 with properties: 
name: TITAN X (Pascal) major: 6 minor: 1 memoryClockRate(GHz): 1.531
pciBusID: 0000:85:00.0
totalMemory: 11.91GiB freeMemory: 11.75GiB
2018-10-28 21:00:57.301926: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1490] Adding visible gpu devices: 0
2018-10-28 21:00:57.652880: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-10-28 21:00:57.652947: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977]      0 
2018-10-28 21:00:57.652958: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990] 0:   N 
2018-10-28 21:00:57.653293: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1103] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 11372 MB memory) -> physical GPU (device: 0, name: TITAN X (Pascal), pci bus id: 0000:85:00.0, compute capability: 6.1)
/opt/conda/lib/python3.6/site-packages/sklearn/externals/joblib/externals/cloudpickle/cloudpickle.py:47: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Using TensorFlow backend.
/opt/conda/lib/python3.6/site-packages/sklearn/preprocessing/_encoders.py:363: FutureWarning: The handling of integer data will change in version 0.22. Currently, the categories are determined based on the range [0, max(values)], while in the future they will be determined based on the unique values.
If you want the future behaviour and silence this warning, you can specify "categories='auto'".
In case you used a LabelEncoder before this OneHotEncoder to convert the categories to integers, then you can now use the OneHotEncoder directly.
  warnings.warn(msg, FutureWarning)
	Command being timed: "python compressor.py -data ../data/processed_files/Caenorhabditis_elegans.WBcel235.dna.chromosome.I.npy -data_params ../data/processed_files/Caenorhabditis_elegans.WBcel235.dna.chromosome.I.param.json -model ../data/trained_models/Caenorhabditis_elegans.WBcel235.dna.chromosome.I/biGRU_16bit.hdf5 -model_name biGRU_16bit -output ../data/compressed/Caenorhabditis_elegans.WBcel235.dna.chromosome.I/biGRU_16bit.compressed -batch_size 10000"
	User time (seconds): 291.74
	System time (seconds): 26.25
	Percent of CPU this job got: 112%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:41.71
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2704224
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 3423081
	Voluntary context switches: 568485
	Involuntary context switches: 10812
	Swaps: 0
	File system inputs: 0
	File system outputs: 86936
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
2018-10-28 21:05:32.283342: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-10-28 21:05:34.122397: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1411] Found device 0 with properties: 
name: TITAN X (Pascal) major: 6 minor: 1 memoryClockRate(GHz): 1.531
pciBusID: 0000:85:00.0
totalMemory: 11.91GiB freeMemory: 11.75GiB
2018-10-28 21:05:34.122437: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1490] Adding visible gpu devices: 0
2018-10-28 21:05:34.469139: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-10-28 21:05:34.469196: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977]      0 
2018-10-28 21:05:34.469205: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990] 0:   N 
2018-10-28 21:05:34.469565: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1103] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 11372 MB memory) -> physical GPU (device: 0, name: TITAN X (Pascal), pci bus id: 0000:85:00.0, compute capability: 6.1)
/opt/conda/lib/python3.6/site-packages/sklearn/externals/joblib/externals/cloudpickle/cloudpickle.py:47: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Using TensorFlow backend.
{'0': 'A', '1': 'C', '2': 'T', '3': 'G'}
[3 1 1 2 0 0 3 1 1 2]
	Command being timed: "python decompressor.py -output ../data/compressed/Caenorhabditis_elegans.WBcel235.dna.chromosome.I/biGRU_16bit.reconstructed.txt -model ../data/trained_models/Caenorhabditis_elegans.WBcel235.dna.chromosome.I/biGRU_16bit.hdf5 -model_name biGRU_16bit -input_file_prefix ../data/compressed/Caenorhabditis_elegans.WBcel235.dna.chromosome.I/biGRU_16bit.compressed -batch_size 10000"
	User time (seconds): 388.45
	System time (seconds): 22.38
	Percent of CPU this job got: 107%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:22.60
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2239008
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 1219302
	Voluntary context switches: 603773
	Involuntary context switches: 1280
	Swaps: 0
	File system inputs: 0
	File system outputs: 109456
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
